query,true_cardinality,sa_estimate,sqa_estimate,classical_baseline,postgresql
Q1,84,81.39,81.39,84.00,84
Q2,63,63.00,63.00,63.00,52
Q3,61,58.39,58.39,61.00,65
Q4,21,21.00,21.00,21.00,4
Q5,45,39.78,39.78,48.65,54
Q6,16,18.61,18.61,8.51,2
