query,true_cardinality,sa_estimate,sqa_estimate,classical_baseline,postgresql
Q1,8057,8055.72,8055.72,8057.00,8057
Q2,5934,5934.00,5934.00,5934.00,4719
Q3,5937,5935.72,5935.72,5937.00,6350
Q4,2016,2016.00,2016.00,2016.00,406
Q5,3994,3991.44,3991.44,4486.53,5116
Q6,1943,1944.28,1944.28,957.21,232
